"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Delete an existing book by non-existing ID.","1","0","0","0","0"
"","","Retrieve details of a specific book by ID is a string or special character.","0","0","1","0","0"
"","","Update an existing book by a non-existing ID.","1","0","0","0","0"
"","","Add a new book to the system with Empty required fields.","0","0","1","0","0"
"","","Retrieve details of a specific book by not exist ID.","0","0","1","0","0"
"","","Delete an existing book by negative ID ","0","0","1","0","0"
"","","Delete an existing book by ID is a string or special character..","0","0","1","0","0"
"","","Delete an existing book by its ID.","0","0","1","0","0"
"","","Update an existing book by its ID.","0","0","1","0","0"
"","","Add a new book to the system with additional unknown fields","1","0","0","0","0"
"","","Delete an author by their ID.","0","0","1","0","0"
"","","Update an existing book by ID with extra field.","1","0","0","0","0"
"","","Retrieve details of a specific book by negative ID ","0","0","1","0","0"
"","","Add a new book to the system.","0","0","1","0","0"
"","","Add a new author to the system.","0","0","1","0","0"
"","","Retrieve a list of all authors","0","0","1","0","0"
"","","Retrieve details of a specific author by their ID.","0","0","1","0","0"
"","","Retrieve a list of all books","0","0","1","0","0"
"","","Add a new book to the system with same fields values","1","0","0","0","0"
"","","Retrieve details of a specific book by its ID.","0","0","1","0","0"
"","","Update an existing author’s details.","0","0","1","0","0"
"","","Update an existing book by a negative ID.","1","0","0","0","0"
