"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 04 09:42:15 GMT 2025","Fri Jul 04 09:42:15 GMT 2025","349","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","DeleteExistingBookbynonexistingID","DeleteExistingBookbynonexistingID",""
"passed","Fri Jul 04 09:42:16 GMT 2025","Fri Jul 04 09:42:16 GMT 2025","438","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","GetBooksDetailsbyIDnotexist","GetBooksDetailsbyIDnotexist",""
"passed","Fri Jul 04 09:42:22 GMT 2025","Fri Jul 04 09:42:22 GMT 2025","333","Surefire suite","Surefire test","tests.Test_BooksAPIScenarios","tests.Test_BooksAPIScenarios","GetBooksDetailsbyID","GetBooksDetailsbyID",""
"failed","Fri Jul 04 09:42:17 GMT 2025","Fri Jul 04 09:42:17 GMT 2025","339","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","UpdateExistingBookbyIDwithextrafield","UpdateExistingBookbyIDwithextrafield",""
"passed","Fri Jul 04 09:42:17 GMT 2025","Fri Jul 04 09:42:17 GMT 2025","405","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","GetBooksDetailsbystringorspecialID","GetBooksDetailsbystringorspecialID",""
"passed","Fri Jul 04 09:42:15 GMT 2025","Fri Jul 04 09:42:15 GMT 2025","390","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","DeleteExistingBookbynegativeID","DeleteExistingBookbynegativeID",""
"passed","Fri Jul 04 09:42:22 GMT 2025","Fri Jul 04 09:42:22 GMT 2025","329","Surefire suite","Surefire test","tests.Test_BooksAPIScenarios","tests.Test_BooksAPIScenarios","UpdateExistingBookbyID","UpdateExistingBookbyID",""
"passed","Fri Jul 04 09:42:15 GMT 2025","Fri Jul 04 09:42:16 GMT 2025","386","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","DeleteExistingBookbystringorspecialID","DeleteExistingBookbystringorspecialID",""
"passed","Fri Jul 04 09:42:20 GMT 2025","Fri Jul 04 09:42:21 GMT 2025","356","Surefire suite","Surefire test","tests.Test_BooksAPIScenarios","tests.Test_BooksAPIScenarios","AddNewBook","AddNewBook",""
"passed","Fri Jul 04 09:42:14 GMT 2025","Fri Jul 04 09:42:14 GMT 2025","476","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","AddnewBookwithemptyfields","AddnewBookwithemptyfields",""
"passed","Fri Jul 04 09:42:18 GMT 2025","Fri Jul 04 09:42:19 GMT 2025","371","Surefire suite","Surefire test","tests.Test_AuthorsAPIScenarios","tests.Test_AuthorsAPIScenarios","AddNewAuthor","AddNewAuthor",""
"failed","Fri Jul 04 09:42:17 GMT 2025","Fri Jul 04 09:42:18 GMT 2025","406","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","UpdateExistingBookbyanonexistingID","UpdateExistingBookbyanonexistingID",""
"passed","Fri Jul 04 09:42:21 GMT 2025","Fri Jul 04 09:42:21 GMT 2025","326","Surefire suite","Surefire test","tests.Test_BooksAPIScenarios","tests.Test_BooksAPIScenarios","DeleteExistingBookbyID","DeleteExistingBookbyID",""
"passed","Fri Jul 04 09:42:19 GMT 2025","Fri Jul 04 09:42:19 GMT 2025","331","Surefire suite","Surefire test","tests.Test_AuthorsAPIScenarios","tests.Test_AuthorsAPIScenarios","DeleteExistingAuthorbyID","DeleteExistingAuthorbyID",""
"passed","Fri Jul 04 09:42:20 GMT 2025","Fri Jul 04 09:42:20 GMT 2025","333","Surefire suite","Surefire test","tests.Test_AuthorsAPIScenarios","tests.Test_AuthorsAPIScenarios","UpdateExistingAuthorbyID","UpdateExistingAuthorbyID",""
"passed","Fri Jul 04 09:42:16 GMT 2025","Fri Jul 04 09:42:17 GMT 2025","382","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","GetBooksDetailsbynegativeID","GetBooksDetailsbynegativeID",""
"failed","Fri Jul 04 09:42:11 GMT 2025","Fri Jul 04 09:42:14 GMT 2025","2685","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","AddnewBookwithadditinalfields","AddnewBookwithadditinalfields",""
"passed","Fri Jul 04 09:42:19 GMT 2025","Fri Jul 04 09:42:20 GMT 2025","585","Surefire suite","Surefire test","tests.Test_AuthorsAPIScenarios","tests.Test_AuthorsAPIScenarios","GetAllAuthorList","GetAllAuthorList",""
"failed","Fri Jul 04 09:42:18 GMT 2025","Fri Jul 04 09:42:18 GMT 2025","362","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","UpdateExistingBookbynegativeID","UpdateExistingBookbynegativeID",""
"passed","Fri Jul 04 09:42:20 GMT 2025","Fri Jul 04 09:42:20 GMT 2025","391","Surefire suite","Surefire test","tests.Test_AuthorsAPIScenarios","tests.Test_AuthorsAPIScenarios","GetAuthorDetailsbyID","GetAuthorDetailsbyID",""
"failed","Fri Jul 04 09:42:14 GMT 2025","Fri Jul 04 09:42:15 GMT 2025","522","Surefire suite","Surefire test","tests.Test_BooksAPIEdgeScenarios","tests.Test_BooksAPIEdgeScenarios","AddnewBookwithsamefieldsvalues","AddnewBookwithsamefieldsvalues",""
"passed","Fri Jul 04 09:42:21 GMT 2025","Fri Jul 04 09:42:22 GMT 2025","591","Surefire suite","Surefire test","tests.Test_BooksAPIScenarios","tests.Test_BooksAPIScenarios","GetAllBooksList","GetAllBooksList",""
